source_id,title,url,kind,access,reuse_status,weeks,truth_role,student_role,estimated_burden,strengths,limitations,permanence_risk,supports_lab,notes
RV-SPEC,RISC-V Ratified Specifications Library,https://docs.riscv.org/reference/home/index.html,primary_spec,free,CC-BY-4.0,"6;11;13",normative_truth,verification_reference,high,"Current ratified ISA and privileged truth; stable January 2026 core release","Too dense to serve as the main student teaching surface",low,yes,"Use bounded excerpts/references with attribution; author student bridge"
RV-ABI,RISC-V ABIs Specification,https://docs.riscv.org/reference/abi/index.html,primary_spec,free,ratified_spec,"6;9",normative_truth,verification_reference,high,"Calling convention ELF and DWARF truth","Far deeper than Week 6 needs",low,yes,"Use only the calling-convention/ELF pieces needed to interpret compiler output"
RV-SRC,RISC-V ISA Manual source,https://github.com/riscv/riscv-isa-manual,primary_spec_source,free,CC-BY-4.0,"6;11;13",normative_truth,adaptable_reference,high,"Attributable source for the open ISA manual","Specification-first rather than sophomore-first",low,yes,"Preserve attribution when adapting"
MIT-6004,MIT OCW 6.004 Computation Structures,https://ocw.mit.edu/courses/6-004-computation-structures-spring-2017/,open_course,free,CC-BY-NC-SA-4.0,"6;7;8;10;11;12;13",conceptual_reference,reading_or_adapted_scaffold,medium_high,"Coherent structural principles from logic through CPU memory pipelines and parallelism","Uses its own architecture and is older than our RISC-V-centered course; adapted content carries SA obligations",low,yes,"Best broad adaptable OER ingredient; do not clone the course"
MIT-6004-LABS,MIT 6.004 Labs,https://ocw.mit.edu/courses/6-004-computation-structures-spring-2009/pages/labs/,open_labs,free,CC-BY-NC-SA-4.0,"7;11",conceptual_reference,instructor_benchmark,high,"Strong bounded build/trace design ideas","Different architecture/tooling and too much to transplant directly",medium,yes,"Use lab-design ideas and author SWOSU-native experiences"
B61C-NOTES,UC Berkeley CS61C 2026 Course Notes,https://notes.cs61c.org/,public_course_notes,free,CC-BY-NC-ND-4.0,"6;7;8;10;11",conceptual_reference,student_link,medium,"Excellent current explanations of representation RISC-V CPU pipeline caches performance and VM","NoDerivatives means link/cite only; notes are still actively developed",medium,yes,"Do not derive our lecture prose or figures from these notes"
B61C-2026,UC Berkeley CS61C 2026 course site,https://cs61c.org/su26/,public_course,free,artifact_dependent,"6;7;8;9;10;11;12;13",coverage_benchmark,student_or_instructor_link,medium_high,"Current sequencing projects labs and modern coverage","Artifact licensing varies and workload/prerequisites are heavier than SWOSU target",medium,yes,"Inspect license per artifact; use primarily as benchmark"
CORNELL-3410,Cornell CS3410 Spring 2026,https://www.cs.cornell.edu/courses/cs3410/2026sp/,public_course,free,link_only_license_not_identified,"6;7;9;10;11;12",conceptual_reference,student_link,medium,"Current integrated text-note/lab sequence spanning C RISC-V CPU caches OS and parallelism","No broad reuse license identified; assumes stronger C/systems context than some students",medium,yes,"Link; do not copy assignments or notes without license"
CORNELL-INFRA,Cornell CS3410 RISC-V Infrastructure,https://www.cs.cornell.edu/courses/cs3410/2026sp/course/infra.html,public_course_infrastructure,free,link_only_license_not_identified,"3;6;9",implementation_benchmark,instructor_benchmark,low,"Concrete Docker plus GCC plus QEMU RISC-V path with Windows WSL macOS and Linux instructions","Course-specific image and commands should not be cloned blindly",medium,yes,"Strong evidence for Prompt 003 architecture-lab feasibility"
CAM-ARCH,Cambridge Introduction to Computer Architecture 2025-26,https://www.cl.cam.ac.uk/teaching/2526/IntComArch/,public_course,free_public_syllabus,link_only,"6;7;8;10;11;12;13",coverage_benchmark,instructor_benchmark,medium,"Excellent RISC-V-to-GPU coverage and architecture scope check","Some detailed handouts are cam.ac.uk-domain restricted and public access does not imply reuse rights",medium,yes,"Use as coverage/practical benchmark rather than required spine"
CAM-CLARVI,Cambridge RISC-V Practical / Clarvi,https://www.cl.cam.ac.uk/teaching/2526/ECAD%2BArch/riscvtutorial.html,public_practical,free,link_only,"6;7;8",implementation_benchmark,instructor_benchmark,high,"Small understandable RV32I core using Spike plus cycle-accurate simulation","SystemVerilog/FPGA depth exceeds our one-week CPU build target",medium,yes,"Useful proof that a small real RISC-V core can bridge ISA and implementation"
NAND-PROJ,Nand2Tetris Project 5 / course,https://www.nand2tetris.org/project05,public_course,free_public_pages,link_only_unless_content_license_verified,"7",conceptual_reference,student_link_or_inspiration,medium,"Makes CPU memory and complete computer parts acquire meaning through construction","Hack ISA and project sequence differ from RISC-V course; instructional reuse rights not assumed",medium,yes,"Preserve build-the-machine instinct without importing the full Hack curriculum"
NAND-SIM,Nand2Tetris simulator source,https://github.com/nand2tetris/nand2tetris_simulator,open_source_tool,free,GPL-2.0-or-later,"7",tool_reference,optional_tool_reference,medium,"Open simulation tooling and useful implementation reference","GPL integration/distribution consequences if bundled",low,yes,"Tool license is separate from instructional-content rights"
LINUX-PROC,Linux kernel /proc documentation,https://docs.kernel.org/filesystems/proc.html,official_docs,free,link_reference,"4;5;11",normative_tool_truth,primary_reference,medium,"Direct documentation for process maps memory state and machine observation","Kernel configuration and permissions affect what fields students can see",low,yes,"Use with a course-owned Machine Telescope card"
GDB,GNU GDB Documentation,https://sourceware.org/gdb/current/onlinedocs/,official_tool_docs,free,gnu_docs,"4;6;9",normative_tool_truth,primary_tool_reference,medium_high,"Registers memory breakpoints and stepping are directly observable","Official manual is too large for beginner-first reading",low,yes,"Course provides exact command subset"
BINUTILS,GNU Binutils/readelf Documentation,https://sourceware.org/binutils/docs/binutils/readelf.html,official_tool_docs,free,gnu_docs,"4;6;9",normative_tool_truth,primary_tool_reference,medium,"ELF and binary inspection truth","Tool reference rather than conceptual explanation",low,yes,"Use through guided command recipes"
GCC-RV,GCC RISC-V Options,https://gcc.gnu.org/onlinedocs/gcc/RISC-V-Options.html,official_tool_docs,free,gnu_docs,"6;9;13",normative_tool_truth,primary_tool_reference,medium_high,"Compiler ISA ABI and vector-target option truth","Many flags are irrelevant to the course",low,yes,"Prompt 003/004 should pin only required flags"
