"zybook_identifier","chapter_number","chapter_title","section_number","section_title","classification","target_week_topic","reason","prerequisite_dependency"
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.1","1.1 Introduction","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.2","1.2 Seven great ideas in computer architecture","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.3","1.3 Below your program","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.4","1.4 Under the covers","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.5","1.5 Technologies for building processors and memory","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.6","1.6 Performance","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.7","1.7 The power wall","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.8","1.8 The sea change: The switch from uniprocessors to multiprocessors","KEEP","Weeks 1-3: abstractions and performance","Required conceptual path supporting the existing semester spine.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.9","1.9 Real stuff: Benchmarking the Intel Core i7","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.10","1.10 Going faster: Matrix multiply in Python","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.11","1.11 Fallacies and pitfalls","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.12","1.12 Concluding remarks","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.13","1.13 Historical perspective and further reading","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.14","1.14 Self study","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","1","1. Computer Abstract / Tech","1.15","1.15 Exercises","OPTIONAL","Weeks 1-3: abstractions and performance","Useful enrichment, practice, or reference; not required of every student.","None; Week 1 establishes baseline."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.1","2.1 Introduction","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.2","2.2 Operations of the computer hardware","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
"SWOSUCOMSC3013EvertFall2026","2","2. Instructions","2.3","2.3 Operands of the computer hardware","KEEP","Weeks 4-6: ISA and program-to-machine","Required conceptual path supporting the existing semester spine.","Binary, representation, and performance vocabulary."
